sq_mt_built,floor,buy_price,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
108.0,0.0,230817,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
108.0,2.0,213722,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
111.0,6.0,230749,3,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
115.0,2.0,233789,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
115.0,1.0,230789,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
117.0,1.0,244171,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
117.0,1.0,243468,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
117.0,1.0,244798,1,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
118.0,1.0,219235,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
115.0,5.0,242789,1,0,8170.0,0,0,0,0,0,1,0,1,0.2200382716049383
97.0,3.0,130000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
106.0,3.0,251569,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
103.0,3.0,235402,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
103.0,1.0,235172,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
103.0,5.0,236227,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
114.0,2.0,254710,1,0,8170.0,0,0,0,1,0,0,1,0,0.2200382716049383
150.0,4.0,159000,0,1,1993.0,0,0,0,1,0,1,0,1,0.1902237442922374
140.0,7.0,272500,2,0,2004.0,1,1,0,1,0,1,1,0,0.2200382716049383
58.0,2.0,85000,1,0,1951.0,1,0,0,0,0,0,0,0,0.2095736842105263
65.0,1.0,94000,1,0,1970.0,1,1,0,1,0,0,0,0,0.1526878378378378
110.0,1.0,175000,1,0,1978.0,0,1,0,1,1,0,0,0,0.2095736842105263
173.0,2.0,268000,1,0,2003.0,1,1,0,0,0,1,0,1,0.1739828358208955
75.0,3.0,156000,3,0,1970.0,1,1,0,1,0,1,0,0,0.1739828358208955
90.0,7.0,183159,3,0,8170.0,0,0,0,1,0,1,0,1,0.2200382716049383
125.0,1.0,210000,1,0,1996.0,1,1,0,0,0,1,0,1,0.2095736842105263
58.0,0.0,85000,1,0,1968.0,0,0,0,0,0,0,0,0,0.1902237442922374
92.0,6.0,159900,1,0,1962.0,1,0,0,1,0,0,0,0,0.1888532608695652
70.0,3.0,117000,1,0,1975.0,1,1,0,0,0,0,0,0,0.1902237442922374
54.0,2.0,110000,1,0,1960.0,0,0,0,0,1,0,0,0,0.1902237442922374
52.0,1.0,100000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1739828358208955
108.0,2.0,140000,1,0,1995.0,1,1,0,1,0,0,0,0,0.1902237442922374
65.0,3.0,106500,1,0,1963.0,1,1,0,1,0,0,0,0,0.2095736842105263
102.0,3.0,127500,1,0,1964.0,0,0,0,1,0,0,0,0,0.2095736842105263
80.0,3.0,148000,1,0,1999.0,1,1,0,1,0,1,1,1,0.1902237442922374
108.0,4.0,205000,2,0,2002.0,1,0,0,1,0,1,0,1,0.2200382716049383
80.0,4.0,220000,1,0,2000.0,1,1,0,0,0,0,1,1,0.2095736842105263
16.0,1.0,114000,1,0,1970.0,0,0,0,0,0,0,0,0,0.2095736842105263
54.0,3.0,89900,1,0,1964.0,0,1,0,1,0,0,0,0,0.1902237442922374
70.0,4.0,210000,1,0,2003.0,1,1,0,0,0,1,1,1,0.2095736842105263
99.0,0.0,145000,1,0,2007.0,0,1,0,0,0,0,0,0,0.1902237442922374
123.0,3.0,275000,1,0,1970.0,1,0,0,1,0,0,1,0,0.2095736842105263
